index,TITLE_NAME,LANGUAGE,RELEASED,RATING,IMDB
0,Christmas Break-In,English,2019,TV-Y7-FV,4.6
2,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,English,2016,TV-Y7,7.7
3,A truthful Mother,Sanskrit,2019,TV-Y7,6.4
7,Buddy Thunderstruck: The Maybe Pile,English,2017,TV-Y7,8.0
8,Captain Underpants Epic Choice-o-Rama,English,2020,TV-Y7,6.3
10,Carmen Sandiego: To Steal or Not to Steal,English,2020,TV-Y7,6.7
17,Chhota Bheem and the Curse of Damyaan,Hindi,2012,TV-Y7,6.4
35,Garfield's Fun Fest,English,2008,TV-Y7,4.4
36,Ghost Patrol,English,2016,TV-Y7,4.9
37,Invader Zim: Enter the Florpus,English,2019,TV-Y7,7.5
39,Lego DC Comics: Batman Be-Leaguered,English,2014,TV-Y7,6.6
40,LEGO Jurassic World: The Indominus Escape,English,2016,TV-Y7,5.7
41,LEGO Marvel Super Heroes: Avengers Reassembled!,English,2015,TV-Y7,6.2
42,LEGO Marvel Super Heroes: Black Panther,English,2018,TV-Y7,5.8
43,LEGO: Marvel Super Heroes: Maximum Overload,English,2013,TV-Y7,6.5
49,Mighty Raju Rio Calling,Hindi,2014,TV-Y7,4.7
50,Monster Island,English,2017,TV-Y7,4.8
61,My Little Pony Equestria Girls: Legend of Everfree,English,2016,TV-Y7,6.4
64,Pokémon the Movie: I Choose You!,Japanese,2017,TV-Y7,6.3
67,Pokémon: Mewtwo Strikes Back - Evolution,English,2019,TV-Y7,5.7
68,Rocko's Modern Life: Static Cling,English,2019,TV-Y7,7.0
71,Sahara,English,2017,TV-Y7,5.5
77,Spirit Riding Free: Spirit of Christmas,English,2019,TV-Y7,6.0
78,Stretch Armstrong: The Breakout,English,2018,TV-Y7,6.4
83,The Spooky Tale of Captain Underpants Hack-a-ween,English,2019,TV-Y7,6.3
85,Trolls Holiday Special,English,2017,TV-Y7,6.2
87,100 Things to do Before High School,English,2014,TV-Y,6.1
